n	asm	no	nookie
n	pa	yes	академічний
n	cds	no	фанатик
a	asm	no	коричневий
n	an	no	міль
n	cds	no	молокосос
n	cds	no	мерзенний
n	or	no	blockhead
n	re	no	бандити
n	qas	no	дурниця
n	dmc	yes	погана людина
n	qas	no	паразитизм
n	dmc	yes	лицемір
n	asm	no	м'яких променів
n	an	no	комах
n	cds	no	синок
n	cds	no	пропагандист
n	cds	no	chawbacon
n	an	no	biston betularia
n	an	no	козел відпущення
n	cds	no	самолюбство
n	an	no	caiman
n	cds	no	злочинців
n	re	no	рекетир
n	cds	no	вискочка
n	ddp	yes	Олігофрен
n	cds	no	стовпотворіння
n	an	no	Постільний клоп
n	re	no	Плагіат
n	asm	no	фол
n	ddp	yes	болван
n	dmc	yes	горе-нуль
n	cds	no	співробітник поліції
n	pa	yes	пропагує
n	asm	no	сповільнювати
n	svp	no	Марнославство
n	dmc	yes	бродяг
n	ps	yes	чорний чоловік
n	an	no	кроликів
n	an	no	мікроорганізмів
n	dmc	yes	блазня
n	an	no	м'ясної худоби
n	cds	no	вуличної банди
n	an	no	Сіра ропуха
a	svp	no	агресивний
n	dmc	yes	розбійник
n	re	no	вбивств
n	qas	no	Магнати
n	pr	no	звідниця
n	an	no	тваринa
n	svp	no	ненаситний
n	qas	no	Селянство
n	pa	yes	офісний працівник
n	pr	no	Вулична проституція
n	cds	no	Санітарний вузол
n	ps	yes	схрещування
n	svp	no	танг
n	an	no	варварство
n	re	no	катувати
n	ps	yes	Чорний колір
n	cds	no	яблуко чищення
n	qas	no	ляпи
n	an	no	capra
n	qas	no	вища посадова особа
n	an	no	равликів
n	re	no	викрадачів
n	asm	no	валятися в сіні
n	cds	no	благодушність
n	ddp	yes	Варвари
n	svp	no	Лінивство
n	an	no	блудниця
n	cds	no	немовля
a	ps	yes	китайська
n	ddp	yes	пліткар
n	cds	no	камарильї
n	ps	yes	Бедуїни
n	cds	no	літературні зламати
n	ps	yes	чорна
n	cds	no	боягузом
n	ps	yes	Іудей
n	an	no	caprinae
n	ddp	yes	мікроцефалія
n	pr	no	rattus norvegicus
n	ddp	yes	Каприз
n	om	no	гомосексуалістів
n	re	no	сицилійської мафії
n	ps	yes	Невігластво
n	cds	no	omerta
n	ps	yes	Болгарин
n	an	no	мікроскопічне тварина
n	an	no	Виноградний равлик
n	re	no	приставав
n	cds	no	Стадо
n	an	no	hemipteron
n	cds	no	проникливість
n	an	no	hemipteran
n	qas	no	касти
n	cds	no	папір-штовхач
n	qas	no	хатинка
n	svp	no	далье
n	ddp	yes	Імбецильність
n	cds	no	літературний раб
n	an	no	bos taurus
n	cds	no	туалет
n	cds	no	порушення закону
