id	pos	category	stereotype	lemma	level
UK2004	n	an	no	Черв	inclusive
UK2409	n	dmc	yes	зра́дник	conservative
UK1276	n	cds	no	Ґанґстер	inclusive
UK1105	n	cds	no	плоти	inclusive
UK898	n	ps	yes	interfertility	inclusive
UK1972	n	dmc	yes	Гомункулус	inclusive
UK1140	n	asm	no	ерекція	inclusive
UK903	n	cds	no	Гібрид	inclusive
UK2359	n	an	no	личинки	inclusive
UK657	n	an	no	погана людина	conservative
UK2240	n	an	no	змія підколодна	conservative
UK525	n	ps	yes	болга́рин	inclusive
UK66	n	an	no	Зубр американський	inclusive
UK458	n	an	no	тіла викрадача	inclusive
UK1175	n	cds	no	сім'ї	inclusive
UK1397	n	is	yes	бідняк	inclusive
UK1017	n	ps	yes	краут	conservative
UK1050	n	om	no	Нивелиця	inclusive
UK1849	n	pa	yes	пастух	inclusive
UK1171	n	dmc	yes	scattergood	inclusive
UK2157	n	qas	no	покинутого судна	inclusive
UK575	n	ddp	yes	ув'язнений	inclusive
UK1489	n	cds	no	ідолопоклонство	inclusive
UK1429	n	ps	yes	єврейської громади	inclusive
UK788	n	om	no	лесбі́йка	inclusive
UK149	n	an	no	болван	conservative
UK643	n	an	no	пес	inclusive
UK1243	n	cds	no	Масонство	inclusive
UK1530	n	an	no	inexorableness	conservative
UK539	n	dmc	yes	капосник	inclusive
UK8	n	svp	no	Ледар	inclusive
UK19	n	svp	no	Апатія	inclusive
UK214	n	asm	no	Яєчки	inclusive
UK1146	n	dmc	yes	Мораль	inclusive
UK505	n	an	no	буйвол	inclusive
UK2135	n	re	no	озброєного грабіжника	inclusive
UK1988	n	cds	no	Лихварство	inclusive
UK1758	n	an	no	папуг	inclusive
UK1089	n	svp	no	їдець	inclusive
UK663	n	cds	no	споріднені групи	inclusive
UK793	n	om	no	гомосексуалі́ст	conservative
UK1269	n	svp	no	марність	conservative
UK609	n	ps	yes	сповільнювати	conservative
UK286	n	ddp	yes	дурний	conservative
UK474	n	pr	no	bos taurus	inclusive
UK156	n	ddp	yes	blockhead	conservative
UK972	n	an	no	Дурбецело	conservative
UK23	n	qas	no	Аколит	inclusive
UK154	n	ddp	yes	тупиця	conservative
UK1735	n	cds	no	папір-штовхач	inclusive
UK520	n	cds	no	егоїзм	conservative
UK1631	n	ps	yes	тичні	inclusive
UK897	n	cds	no	селекціонер	inclusive
UK1770	n	an	no	поросятко	inclusive
UK1389	n	pr	no	Проституція	conservative
UK148	n	ddp	yes	betise	conservative
UK598	n	cds	no	зацькований	conservative
UK236	n	dmc	yes	варварським	conservative
UK2410	n	dmc	yes	зрадника	conservative
UK399	n	cds	no	cur	inclusive
UK1506	n	ddf	yes	інвалідності	inclusive
UK1364	n	cds	no	лиходій	conservative
UK2087	n	an	no	Кури	inclusive
UK739	n	or	no	вирощують капусту	inclusive
UK2405	n	dmc	yes	Ренеґат	conservative
UK414	n	cds	no	mother-fucker	conservative
UK147	n	asm	no	башка	conservative
UK438	n	cds	no	промах	inclusive
UK546	n	dmc	yes	бродяга	inclusive
UK985	n	asf	no	нікчемність	conservative
UK2139	n	re	no	озброєних пограбувань	inclusive
UK1229	n	an	no	siphonaptera	inclusive
UK1974	n	dmc	yes	гомункула	inclusive
UK120	n	ddp	yes	Тварини	inclusive
UK898	n	cds	no	interfertility	inclusive
UK1640	n	qas	no	суміш	inclusive
UK552	n	cds	no	негідник	inclusive
UK271	n	qas	no	baroqueness	inclusive
UK900	n	ps	yes	схрещуванні	inclusive
UK1534	n	cds	no	пихатість	conservative
UK13	n	dmc	yes	виділення	inclusive
UK1058	n	om	no	контралатеральной	inclusive
UK773	n	pa	yes	тілесний	inclusive
UK548	n	dmc	yes	бродяг	conservative
UK1456	n	svp	no	Ненажерство	inclusive
UK915	n	qas	no	Конформність	inclusive
UK1337	n	svp	no	нікчемна людина	conservative
UK394	n	an	no	лихословити	conservative
UK376	n	ddp	yes	шахрайство	conservative
UK708	n	asm	no	прутень	conservative
UK499	n	qas	no	підприємець	inclusive
UK789	n	om	no	ґей	conservative
UK865	n	an	no	Совоподібні	inclusive
UK789	n	or	no	ґей	conservative
UK1271	n	dmc	yes	непосида	inclusive
UK1442	n	ps	yes	Гебреї	inclusive
UK1299	n	cds	no	тюремник	inclusive
UK938	n	or	no	огірочок	inclusive
UK550	n	cds	no	лиходія	conservative
UK1343	n	cds	no	реакційний	conservative
UK101	n	svp	no	фанатизму	conservative
UK2271	n	re	no	Терорист	conservative
UK354	n	cds	no	шахрай	conservative
UK1267	n	svp	no	хандрити	conservative
UK791	n	or	no	Голубі	conservative
UK506	n	om	no	чорт!	inclusive
UK1540	n	cds	no	Викладач	inclusive
UK1453	n	qas	no	маляра	inclusive
UK290	n	pr	no	куртизанка	inclusive
UK161	n	an	no	невіглас	conservative
UK1227	n	an	no	Блохи	inclusive
UK2415	n	ps	yes	Цигани	inclusive
UK1201	n	re	no	вимагати	inclusive
UK231	n	rci	yes	варвар	conservative
UK582	n	an	no	Кархародон	inclusive
UK1355	n	an	no	Свиня свійська	inclusive
UK806	n	an	no	фізіономія	inclusive
UK1075	n	om	no	Абаксіальний	inclusive
UK822	n	qas	no	твердих відходів	inclusive
UK77	n	om	no	анального проникнення	inclusive
UK610	n	asm	no	перевертиш	inclusive
UK1656	n	cds	no	ухиляються від роботи людина	conservative
UK830	n	an	no	прослуховування	inclusive
UK302	n	an	no	блудниця	conservative
UK1416	n	om	no	гомосексуалізм	inclusive
UK636	n	dmc	yes	карбувальник	conservative
