n	asm	no	twerp
n	asm	no	nookie
n	asf	no	twat
n	cds	no	người cho vay
n	pa	yes	man rợ
n	ddp	yes	dân quê
n	an	no	bẩn chó
n	ddp	yes	người ngu dốt
n	cds	no	jerking off
n	asf	no	codswallop
n	an	no	người lợi dụng
n	re	no	xã hội đen
n	re	no	raper
n	ddp	yes	keo cú
n	asf	no	fuckhead
n	ddp	yes	pillock
n	an	no	hèn nhát
n	cds	no	nghịch ngợm
n	an	no	lunkhead
n	or	no	lunkhead
n	svp	no	người không tự phụ
n	svp	no	gorger
n	cds	no	nhân vật phản diện bi thảm
n	svp	no	dilly-dallier
n	is	yes	người keo kiệt
n	cds	no	finagler
n	dmc	yes	nghèo devil
n	qas	no	chủ nghỉa thủ cựu
n	dmc	yes	người chậm chạp
n	dmc	yes	đạo đức giả
n	dmc	yes	dâm đảng
n	dmc	yes	slackers
n	ps	yes	changelings
n	cds	no	bánh đại lý
n	or	no	đồng tính
n	pa	yes	dân quê
n	cds	no	cao thuận tay
n	cds	no	tầm thường
n	cds	no	groveler
n	asm	no	doofus
n	asf	no	người phá sản
n	asm	no	jacking off
n	an	no	dể bị gạt
n	an	no	diddly-shit
n	cds	no	nghề tú bà
n	asf	no	âm đạo
n	qas	no	lời nói dối
n	cds	no	pudden đầu
n	qas	no	người dã man
n	ddp	yes	motherfucker
n	ddp	yes	knucklehead
n	pr	no	tinh ranh
n	dmc	yes	hobos
n	ddp	yes	người ngu si
n	an	no	người xấu
n	dmc	yes	người mạo nhận
n	cds	no	bẩn chó
n	om	no	Đồng tính nam
n	cds	no	bạo lực băng đảng
n	rci	yes	nhà quê
n	cds	no	vô pháp
n	ddp	yes	ngu dốt
n	or	no	poof
n	dmc	yes	hobo
n	qas	no	người sưa chửa
n	asf	no	lừa bằng giấy
n	re	no	giả mạo
n	ps	yes	người vô dụng
n	cds	no	conceitedness
n	cds	no	một đoạn
n	an	no	cắm sừng
n	cds	no	tội nhân (t
n	qas	no	tagalong
n	cds	no	khiếu nại
n	asf	no	Âm đạo
n	svp	no	kiêu căng
n	dmc	yes	người sưa chửa
n	asf	no	làm trể
n	cds	no	kẻ ngốc
n	cds	no	layabout
n	ddp	yes	người thô tục
n	dmc	yes	mùi hôi thúi
n	dmc	yes	người đi lang thang
n	ddp	yes	pudden đầu
n	ddp	yes	người vô dụng
n	cds	no	lang băm
n	ddp	yes	twerp
n	or	no	ngu ngốc người
n	asf	no	người dại khờ
n	re	no	ma phi a
n	dmc	yes	malodor
n	ddp	yes	dimwit
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	pr	no	thể thao phụ nữ
n	or	no	knucklehead
n	cds	no	người láu lỉnh
n	an	no	giả mạo
n	an	no	người dốt
n	dmc	yes	grifter
n	pr	no	cẩu thả người phụ nữ
n	ps	yes	da đen
n	ddp	yes	dã man
n	asf	no	người ngu si
n	cds	no	mị dân
n	dmc	yes	sự tin nhảm
n	cds	no	ragtag
n	ps	yes	người da đen
n	re	no	maligner
n	cds	no	thằng ngu
n	cds	no	người ăn cướp
n	dmc	yes	kẻ giả nhân giả nghĩa
n	cds	no	pedantic
n	dmc	yes	dallier
n	cds	no	người chăm học
n	dmc	yes	người lừa đảo
n	cds	no	dể bị gạt
v	asm	no	ái ân
v	asm	no	đéo
n	ddp	yes	riffraff
n	om	no	faggot
n	dmc	yes	người giả mạo
n	ps	yes	mongoloids
n	an	no	người dại khờ
n	cds	no	ma-phi-a
n	an	no	dễ dãi
n	dmc	yes	cặn bã túi
n	cds	no	đặt ra ngoài vòng pháp luật
n	ps	yes	một đoạn
n	or	no	pillock
n	qas	no	đi lang thang
n	dmc	yes	biếng nhác
n	svp	no	superbia
n	cds	no	ngoài vòng pháp luật
n	is	yes	người ăn xin
n	an	no	gái điếm
n	ddp	yes	làm trể
n	cds	no	ngu ngốc
n	pr	no	hogwash
n	svp	no	minginess
n	cds	no	người tọc mạch
n	ddp	yes	dickhead
n	om	no	đồng tính luyến ái
n	cds	no	ngốc
n	ddp	yes	người dại dột
n	svp	no	người keo kiệt
n	asm	no	dimwit
n	om	no	khuyết tật người
n	an	no	gái mại dâm nam
n	ps	yes	nigra
n	ddp	yes	quack
n	cds	no	saphead
n	ps	yes	dân quê
n	asf	no	moron
n	cds	no	cho vay cá mập
n	cds	no	conformist
n	or	no	Đồng tính nam
n	cds	no	tricker
n	dmc	yes	người dã man
n	dmc	yes	thần trickster
n	re	no	vilifier
n	dmc	yes	libertinism
n	cds	no	người hay kể chuyện
n	svp	no	ne'er làm tốt
n	svp	no	nhiệt tin
n	an	no	cuckold
n	cds	no	dickhead
n	cds	no	người nhìn lên
n	asm	no	fuck
n	ddp	yes	một đoạn
n	an	no	thú tính
n	or	no	người đồng tính nam
n	svp	no	cao thuận tay
n	an	no	đần độn
n	ddp	yes	sự dốt nát
n	pa	yes	người dã man
n	dmc	yes	lừa dối
n	cds	no	nosey parker
n	svp	no	tightfistedness
n	dmc	yes	dã man
n	cds	no	rác
n	dmc	yes	ác
n	ps	yes	mestizaje
n	rci	yes	người dã man
v	asm	no	giao cấu
n	cds	no	không được pháp luật bảo vệ
n	cds	no	dastardliness
n	pr	no	lỏng phụ nữ
n	an	no	tầm thường
n	asm	no	giật-off
n	cds	no	sự quỷ quyệt
n	an	no	shithead
n	asf	no	saphead
n	asm	no	người dại dột
n	an	no	folderol
a	om	no	đồng tính
n	pr	no	gái mại dâm
n	cds	no	băng đảng đường phố
n	re	no	hiếp dâm
n	ps	yes	chậm chạp
n	an	no	vamp
n	cds	no	ăn cắp vặt
n	ddp	yes	đần độn
n	cds	no	wangler
n	asm	no	người ngu
n	svp	no	slacker
n	asm	no	ngu dốt
n	re	no	villainess
n	cds	no	kẻ mối lái tình dục
n	ddp	yes	arsehole
n	ps	yes	khờ
n	cds	no	tội nhân
n	cds	no	người cho vay nặng lời
n	dmc	yes	rube
n	asm	no	shtup
n	cds	no	folderol
n	cds	no	nghiện
n	cds	no	quá tỉ mỉ
a	svp	no	xâm lược
n	or	no	người dại khờ
n	cds	no	người bất bình
n	or	no	pê đê
n	dmc	yes	bỏ đạo
n	pr	no	dịch vụ tình dục
n	an	no	vamper
n	cds	no	người nói nhiều
n	ddp	yes	lính mật thám
n	pr	no	một nam
n	dmc	yes	người giả dối
n	cds	no	kiêu căng
n	svp	no	tình yêu tự
n	an	no	zooerasty
n	ps	yes	nigga
n	cds	no	côn đồ
n	or	no	đắp thuốc nóng vào chổ đau
n	cds	no	bellyacher
n	dmc	yes	lingerer
n	asf	no	một đoạn
n	dmc	yes	cướp
n	cds	no	mị dân
n	is	yes	cheapskate
n	cds	no	thứ hai lên lương
n	om	no	kiểu sức
n	asf	no	folderol
n	cds	no	người lừa đảo
n	cds	no	tân binh
n	an	no	riffraff
n	cds	no	vanity
n	is	yes	người vô dụng
n	asf	no	thằng ngốc
n	ps	yes	môn-gô-lô-ít
n	an	no	nanus
n	dmc	yes	người hay trốn
n	qas	no	ragtag
n	dmc	yes	người làm biếng
n	cds	no	hèn nhát
n	svp	no	vanity
n	ps	yes	người phá sản
n	dmc	yes	trickster
n	cds	no	người khoe khoan
n	asf	no	dumbass
n	re	no	libeler
n	ddp	yes	muttonhead
n	cds	no	mystifier
n	an	no	lowlife
n	an	no	diddlysquat
n	cds	no	hối hả
n	cds	no	phế liệu
n	cds	no	loansharking
n	dmc	yes	giả
n	cds	no	schoolmarm
n	ddp	yes	người dốt
n	dmc	yes	côn đồ
n	qas	no	dã man
n	cds	no	hành vi vô lại
n	or	no	say sưa
n	om	no	gay
n	ps	yes	Đại chủng mông cổ
n	asm	no	wanker
n	pr	no	john
n	an	no	bẩn lừa
n	cds	no	loại heo con nhỏ
n	an	no	cho mọc sừng
n	ddf	yes	loại heo con nhỏ
n	dmc	yes	dilly-dallier
n	cds	no	giả mạo
n	cds	no	sắt phế liệu
n	cds	no	vô trật tự
n	om	no	paederast
n	pr	no	bán dâm
n	re	no	gièm pha
n	asf	no	ngốc
n	pr	no	đường phố cô gái
n	cds	no	chính sách mị dân
n	an	no	người bủn xỉn
n	cds	no	thải hộ gia đình
n	an	no	diddly-squat
n	ddp	yes	dễ dãi
n	cds	no	defrauder
n	an	no	người keo kiệt
n	qas	no	trouble maker
n	cds	no	moaner
n	svp	no	vẻ kiêu căng
n	dmc	yes	người bỏ đảng
n	ddp	yes	người ngu ngốc
n	cds	no	người nhút nhát
n	cds	no	người sưa chửa
n	cds	no	cho vay tiền
n	dmc	yes	kẻ phản bội
n	dmc	yes	thô lỗ
n	cds	no	wisenheimer
n	cds	no	vaunter
n	pr	no	lời nói trống rổng
n	svp	no	người đào hầm
n	cds	no	tự cao đại
n	re	no	nhanh nhẹn
n	ddp	yes	ferociousness
n	cds	no	ma phi a
n	dmc	yes	pseud
n	an	no	bonehead
n	cds	no	nhút nhát
n	cds	no	nhát gan
n	cds	no	nerdy
a	dmc	yes	giả
n	cds	no	chủ nghỉa thủ cựu
n	ps	yes	người thô tục
n	cds	no	splashiness
n	an	no	knucklehead
n	cds	no	tattletale
n	an	no	ragtag và cắt ngắn đuôi
n	asf	no	dễ dãi
n	cds	no	phản động
n	cds	no	thời gian phục vụ
n	ps	yes	dễ dãi
n	ps	yes	nhà quê
n	pr	no	comare
n	cds	no	hay khoe khoang
n	an	no	wuss
n	cds	no	người đóng giày
n	re	no	vi phạm
n	pr	no	gái mại dâm nam
n	cds	no	người ngu
n	pa	yes	nhà quê
n	an	no	diddley
n	is	yes	người ăn mày rách rưới
n	asm	no	ngốc
n	cds	no	người ăn cắp
n	re	no	sự dọa
n	cds	no	hèn nhát
n	or	no	gay
n	cds	no	git
n	or	no	phong homophile
n	cds	no	loanshark
n	asf	no	thiếu nư
n	an	no	raunch
n	dmc	yes	giả mạo
n	asf	no	muttonhead
n	or	no	giao hợp với người đồng tính
n	asm	no	cả tin
n	ddp	yes	người hay nói nhiều
