id	pos	category	stereotype	lemma	level
VI1548	n	cds	no	mess	conservative
VI653	n	cds	no	bộ lạc	inclusive
VI1020	n	cds	no	hàng chục	inclusive
VI2059	n	qas	no	có vẻ long trọng	inclusive
VI738	n	cds	no	đồng trong im lặng	inclusive
VI47	n	pa	yes	academicism	inclusive
VI296	n	cds	no	nói lối	inclusive
VI961	n	dmc	yes	che đậy	conservative
VI1296	n	an	no	heo	inclusive
VI1677	n	qas	no	giáo dân	inclusive
VI38	n	qas	no	amateurishness	conservative
VI675	n	an	no	thô tục	conservative
VI245	n	qas	no	baron	inclusive
VI489	n	qas	no	tư sản	inclusive
VI1532	a	om	no	đồng tính	conservative
VI472	n	pr	no	bò	inclusive
VI596	n	asm	no	moron	inclusive
VI9	n	svp	no	spiritlessness	inclusive
VI1580	n	dmc	yes	slackers	conservative
VI1556	n	ps	yes	metics	inclusive
VI879	n	or	no	cucurbita maxima	inclusive
VI85	n	cds	no	vụn vặt	inclusive
VI143	n	cds	no	dể bị gạt	conservative
VI716	n	or	no	brassica oleracea	inclusive
VI118	n	an	no	infauna	inclusive
VI2053	n	cds	no	groveler	conservative
VI1897	n	dmc	yes	người hề	inclusive
VI1598	n	an	no	muôi	inclusive
VI40	n	pa	yes	thành viên tương ứng	inclusive
VI1195	n	svp	no	dilly-dallier	conservative
VI1490	a	is	yes	không hạnh phúc	inclusive
VI749	n	or	no	đồng tính	conservative
VI351	n	re	no	người bất lương	inclusive
VI495	n	qas	no	người thị dân	inclusive
VI110	n	an	no	anguilliformes	inclusive
VI1208	n	asm	no	lĩnh vực đậu	inclusive
VI1368	n	cds	no	linh mục cao	inclusive
VI151	n	or	no	dumbass	conservative
VI850	n	cds	no	interfertility	inclusive
VI1021	n	cds	no	tấn	inclusive
VI146	n	or	no	shithead	conservative
VI4	n	svp	no	lười biếng	inclusive
VI592	n	ddp	yes	khờ	inclusive
VI299	n	cds	no	nói dối	inclusive
VI779	n	ddp	yes	thủ đoạn	conservative
VI593	n	ddp	yes	làm trể	conservative
VI755	n	om	no	pê đê	inclusive
VI1199	n	dmc	yes	kẻ bất lương	inclusive
VI1193	n	svp	no	dillydallier	conservative
VI216	n	ddp	yes	sự da man	inclusive
VI147	n	an	no	bonehead	conservative
VI1191	n	cds	no	người đi vênh vang	conservative
VI1950	n	cds	no	sniveller	conservative
VI87	n	cds	no	trộn lẫn-mangle	inclusive
VI259	n	an	no	patsy	conservative
VI1123	n	qas	no	fieldhand	inclusive
VI1806	n	ps	yes	jigaboo	conservative
VI1949	n	cds	no	moaner	conservative
VI260	n	ddp	yes	người phá sản	conservative
VI834	n	ddp	yes	twerp	conservative
VI598	n	pr	no	chó	conservative
VI1433	n	is	yes	nghèo	inclusive
VI82	n	cds	no	món ăn xào bần	inclusive
VI212	n	dmc	yes	nhà quê	conservative
VI1478	n	dmc	yes	giả	conservative
VI982	n	om	no	dòng midclavicular	inclusive
VI1371	n	qas	no	họa sĩ nhà	inclusive
VI893	n	cds	no	dastardliness	conservative
VI1098	n	cds	no	gia đình	inclusive
VI1448	n	an	no	không thể lay chuyển	conservative
VI623	n	dmc	yes	defrauder	conservative
VI464	n	pr	no	súc trong nước	inclusive
VI1446	n	an	no	relentlessness	conservative
VI1398	n	cds	no	ballad	inclusive
VI171	n	svp	no	avaritia	inclusive
VI1241	n	cds	no	người tọc mạch	conservative
VI1171	n	asm	no	hôi	inclusive
VI263	n	cds	no	pudden đầu	conservative
VI541	n	dmc	yes	villainess	conservative
VI139	n	asf	no	betise	conservative
VI1575	n	cds	no	phòng vệ sinh	inclusive
VI2294	n	ps	yes	người zulu	inclusive
VI717	n	or	no	cải bắp	inclusive
VI295	n	pr	no	đường phố cô gái	conservative
VI1147	n	cds	no	finagler	conservative
VI247	n	qas	no	baroqueness	inclusive
VI2262	n	dmc	yes	kẻ phản bội	conservative
VI496	n	an	no	trâu rừng	inclusive
VI1026	n	cds	no	bè	inclusive
VI604	n	re	no	traducement	inclusive
VI2075	n	an	no	Ếch	inclusive
VI594	n	asm	no	changeling	inclusive
VI351	n	cds	no	người bất lương	inclusive
VI1487	n	re	no	neonaticide	inclusive
VI368	n	cds	no	tinh nghịch	conservative
VI1125	n	qas	no	nhà nông	inclusive
VI195	n	is	yes	người keo kiệt	conservative
VI829	n	an	no	athene noctua	inclusive
VI827	n	an	no	strigiformes	inclusive
VI216	n	an	no	sự da man	inclusive
VI689	n	cds	no	bóng-up	inclusive
VI2185	n	an	no	caimans	inclusive
VI1134	n	cds	no	fascista	inclusive
VI629	n	cds	no	ragtag	conservative
VI61	n	om	no	tình dục hậu môn	inclusive
VI821	n	asm	no	phỉnh gạt	conservative
VI1612	n	an	no	equus mule	inclusive
VI595	n	ddp	yes	changelings	conservative
VI758	n	om	no	homophile	conservative
VI853	n	cds	no	nhân giống cây trồng	inclusive
VI2243	n	cds	no	dễ bị mua chuộc	inclusive
VI443	n	cds	no	blunderer	conservative
VI1396	n	cds	no	ca sĩ chuyên hát tình	inclusive
VI832	n	cds	no	wanker	conservative
VI1261	n	dmc	yes	không có tài khoản	conservative
VI1430	n	is	yes	bần hàn	inclusive
VI677	n	an	no	tánh thường	conservative
VI1989	a	dmc	yes	giả	conservative
VI816	n	an	no	prickteaser	conservative
VI1822	n	pa	yes	người cầu hôn	inclusive
VI91	n	an	no	codswallop	conservative
VI1609	n	an	no	chậm chạp	conservative
VI246	n	qas	no	baroque	inclusive
VI156	n	ddp	yes	muttonhead	conservative
VI1202	n	cds	no	chủ nghỉa phát xít	conservative
VI396	n	ddp	yes	khốn	conservative
VI1479	n	dmc	yes	pseud	conservative
VI1225	n	cds	no	người canh gác nhà tù	inclusive
VI585	n	is	yes	kẻ bị ruồng bỏ	inclusive
VI1741	n	an	no	vi khuẩn	inclusive
VI125	n	ddp	yes	epifauna	inclusive
VI2189	n	asm	no	ithyphallic	inclusive
VI589	n	cds	no	người nhu nhược	conservative
VI1652	n	om	no	pederastic	inclusive
VI1662	n	cds	no	rube	conservative
VI27	n	cds	no	tố	inclusive
VI353	n	an	no	ông-dê	inclusive
VI1001	n	qas	no	kennel	inclusive
VI1082	n	cds	no	tội nhân	conservative
VI259	n	asf	no	patsy	conservative
VI678	n	asm	no	cặc	inclusive
VI204	n	qas	no	hoàn	inclusive
VI917	n	an	no	pillager	inclusive
VI1277	v	asm	no	tỏ tình với ai	conservative
VI1404	n	cds	no	kẻ thờ hình tượng	inclusive
VI1038	n	ddf	yes	người lùn	conservative
VI603	n	re	no	bôi nhọ	inclusive
VI1549	n	cds	no	mussiness	conservative
VI1835	n	cds	no	chứng hay động đực	conservative
VI405	n	re	no	sự dọa	conservative
VI286	n	an	no	Đĩ đực	conservative
VI1985	n	re	no	vi phạm bản quyền	inclusive
VI509	n	qas	no	ngay giưa lớp	inclusive
VI1832	n	cds	no	hypersexuality	conservative
VI1967	n	an	no	phthiraptera	inclusive
VI1580	n	svp	no	slackers	conservative
VI444	n	cds	no	người làm vụng về	conservative
VI1174	n	cds	no	masonic	inclusive
VI319	n	cds	no	fabricator	conservative
VI1239	n	cds	no	nosey parker	conservative
VI594	n	cds	no	changeling	inclusive
VI1065	n	qas	no	a-ma-tơ	inclusive
VI1581	n	svp	no	người hay trốn	conservative
VI1720	n	dmc	yes	người ăn cướp	conservative
VI736	n	an	no	thỏ	inclusive
VI983	n	om	no	bánh	inclusive
VI870	n	asf	no	lồn	conservative
VI772	n	an	no	nhát gan	conservative
VI2252	n	re	no	xấu	inclusive
VI763	n	cds	no	người truyền tin	conservative
VI527	n	cds	no	lowlife	conservative
VI1455	n	cds	no	hướng dẫn	inclusive
VI586	n	is	yes	bỏ bơ vơ	inclusive
VI535	n	dmc	yes	hobos	conservative
VI1071	n	dmc	yes	đức	inclusive
VI934	n	cds	no	vi phạm pháp luật	inclusive
VI2077	n	an	no	anurans	inclusive
VI1077	n	an	no	eurypterids	inclusive
VI671	n	qas	no	mare làm tổ	inclusive
VI1301	n	cds	no	đê tiện	conservative
VI1825	n	ps	yes	châu á	inclusive
VI629	n	qas	no	ragtag	conservative
VI624	n	cds	no	scammer	inclusive
VI611	n	re	no	gièm pha	conservative
VI849	n	ddf	yes	crookback	inclusive
VI1503	n	cds	no	người cho vay ăn lời	inclusive
VI1911	n	qas	no	người ăn cắp	conservative
VI258	n	an	no	dễ dãi	conservative
VI1485	n	dmc	yes	biếng nhác	conservative
VI1248	n	an	no	ruồi nhuế	inclusive
VI667	n	svp	no	minginess	conservative
VI1362	n	cds	no	hoi polloi	inclusive
VI1831	n	cds	no	nympho	conservative
VI596	n	cds	no	moron	inclusive
VI143	n	asm	no	dể bị gạt	conservative
VI1365	n	cds	no	hierarch	inclusive
VI1653	n	om	no	pederasty	inclusive
VI505	n	qas	no	lớp chuyên nghiệp	inclusive
VI1395	n	cds	no	người hát nho nhỏ	inclusive
VI285	n	an	no	dâm	conservative
VI150	n	or	no	fuckhead	conservative
VI951	n	ps	yes	kraut	conservative
VI528	n	dmc	yes	cặn bã túi	conservative
VI1037	n	an	no	nanus	conservative
VI417	n	dmc	yes	rakehell	conservative
VI1951	n	cds	no	người bất bình	conservative
VI805	n	cds	no	sự quỷ quyệt	conservative
VI590	n	cds	no	kiểu sức	conservative
VI646	n	cds	no	clan	inclusive
VI1601	n	pr	no	con nhậy ăn vải	inclusive
VI258	n	cds	no	dễ dãi	conservative
VI2042	n	re	no	stickup	inclusive
VI1032	n	dmc	yes	vật bị trôi giạt	inclusive
VI864	n	qas	no	tuân thủ	inclusive
VI2091	n	cds	no	nhà mô phạm	inclusive
VI1164	n	cds	no	chăn trâu	inclusive
VI163	n	om	no	ass	inclusive
VI2087	n	cds	no	weisenheimer	conservative
VI1480	n	dmc	yes	người mạo nhận	conservative
