pos	category	stereotype	lemma	level
n	svp	no	忿怒	inclusive
n	an	no	豚	inclusive
n	om	no	臀	inclusive
n	ddp	yes	白癡	conservative
a	cds	no	鲁莽的	conservative
n	cds	no	犯法	inclusive
v	re	no	窃	inclusive
n	svp	no	守 财 奴	conservative
n	qas	no	弃船	inclusive
v	cds	no	计较	inclusive
n	ddp	yes	俘虏	inclusive
a	dmc	yes	没良心+的	conservative
n	cds	no	犯罪行为	inclusive
n	or	no	蕓薹	inclusive
a	svp	no	懒	conservative
n	pa	yes	入殓师	inclusive
n	pr	no	哞哞的牛	inclusive
n	cds	no	可恶的家伙	conservative
n	asf	no	numskull	conservative
n	dmc	yes	壞人	conservative
a	cds	no	不合法+的	inclusive
n	cds	no	和	conservative
n	om	no	⚣	conservative
n	cds	no	高利贷者	conservative
n	cds	no	采 购	inclusive
n	om	no	homosexualism	inclusive
a	dmc	yes	无所事事+的	conservative
n	ddp	yes	野蛮	inclusive
n	an	no	culex pipiens	inclusive
a	cds	no	书记+的	inclusive
n	ddp	yes	智力残障	inclusive
a	pa	yes	理 论	inclusive
n	svp	no	休止状态	inclusive
n	om	no	男扮女裝	inclusive
n	qas	no	轶事	inclusive
n	pa	yes	佃农	inclusive
n	qas	no	假话	conservative
n	re	no	施 刑 者	inclusive
n	re	no	怪盜	inclusive
n	dmc	yes	dissimulator	conservative
a	cds	no	平常+的	inclusive
n	pr	no	大耗子	inclusive
n	cds	no	小集团	inclusive
n	an	no	狗头雕	inclusive
n	cds	no	懦 夫	conservative
n	re	no	持械抢劫	inclusive
n	or	no	傻瓜	conservative
n	cds	no	党	inclusive
n	pr	no	heterocera	inclusive
n	re	no	凶手	inclusive
n	an	no	豚猪	inclusive
n	cds	no	茅厕	inclusive
n	pr	no	旁妻	inclusive
n	an	no	蝸牛	inclusive
n	an	no	无赖	conservative
n	pr	no	蛾子	inclusive
n	cds	no	剔除	conservative
n	cds	no	兇犯	inclusive
n	an	no	鸚形目	inclusive
v	cds	no	淪沒喪亡	inclusive
n	qas	no	大错	inclusive
a	is	yes	贫穷+的	inclusive
n	om	no	变 装	inclusive
n	re	no	扒手	inclusive
n	cds	no	cosa的诺斯特拉	inclusive
n	om	no	酷儿	conservative
n	is	yes	大壞蛋	conservative
n	qas	no	夾心階層	inclusive
n	svp	no	niggardliness	conservative
n	an	no	numskull	conservative
n	cds	no	狱卒	inclusive
n	cds	no	为了寻开心	conservative
n	qas	no	农户	inclusive
n	ddp	yes	柔软的触感	conservative
n	an	no	branta bernicla	inclusive
a	asm	no	茶褐色+的	inclusive
n	dmc	yes	道德动机	inclusive
n	or	no	茴香	inclusive
n	asf	no	阴 道	conservative
a	an	no	顽固不化+的	inclusive
a	ps	yes	华	inclusive
n	dmc	yes	帕萊雅爾	inclusive
v	cds	no	议价	inclusive
n	pr	no	卖淫	conservative
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	水牛	inclusive
n	cds	no	压摆	inclusive
n	ps	yes	耶胡達人	inclusive
a	ps	yes	乌色+的	inclusive
n	ps	yes	傻大个	conservative
n	an	no	野蛮	inclusive
n	an	no	畜生	inclusive
n	dmc	yes	马苏里拉奶酪	inclusive
n	cds	no	分数	inclusive
n	an	no	新纪录种	inclusive
n	dmc	yes	卑鄙小人	inclusive
n	is	yes	贫乏	inclusive
n	an	no	鴟鴞	inclusive
n	cds	no	爱管闲事	conservative
n	an	no	bos taurus	inclusive
n	cds	no	阴谋论	inclusive
n	pa	yes	专科院校的	inclusive
n	ps	yes	罗姆族	inclusive
n	cds	no	盗贼	inclusive
n	asm	no	鳥綱	inclusive
n	qas	no	謊言	conservative
n	om	no	变装	inclusive
n	re	no	姦污	conservative
n	ddp	yes	愚侏儒病	inclusive
n	cds	no	基要主義	inclusive
n	qas	no	fieldhand	inclusive
n	cds	no	几十个	inclusive
n	ps	yes	植 物 生 技 术	inclusive
n	cds	no	自我满意度	inclusive
n	ddf	yes	傷殘人士	inclusive
n	asf	no	这个笨蛋	conservative
v	an	no	盛怒	conservative
n	cds	no	狱警	inclusive
n	qas	no	扑 杀	conservative
n	dmc	yes	强盗	conservative
n	cds	no	柔软的触感	conservative
n	ddp	yes	animals	inclusive
n	cds	no	百事通	conservative
n	cds	no	狂热	conservative
n	qas	no	农场主	inclusive
n	re	no	標參	inclusive
n	an	no	恶意	conservative
n	qas	no	布衣	inclusive
n	an	no	雁族	inclusive
a	ddp	yes	呆	conservative
n	re	no	折磨	inclusive
a	an	no	生虱+的	inclusive
n	an	no	虱	inclusive
n	om	no	男同性恋	inclusive
n	asm	no	小鸡巴	inclusive
n	an	no	比利山羊	inclusive
n	re	no	殺死	inclusive
n	cds	no	挖土机	inclusive
n	ddp	yes	蒙古大夫	conservative
n	ddp	yes	卑鄙的人	conservative
n	cds	no	wangler	conservative
n	cds	no	热情	inclusive
n	ps	yes	贝多因人	inclusive
n	re	no	騙姦	conservative
n	cds	no	黑胫病	inclusive
n	dmc	yes	没出息	conservative
n	an	no	鳄鱼	inclusive
a	dmc	yes	腌臜	inclusive
n	or	no	高麗菜	inclusive
n	an	no	eurypterids，	inclusive
a	dmc	yes	卑微+的	conservative
n	re	no	迷奸	conservative
n	pr	no	失足妇女	inclusive
n	ddf	yes	残疾人	inclusive
n	re	no	大虫	inclusive
n	ps	yes	尼格鲁人种	inclusive
n	ps	yes	植 物 育 种	inclusive
n	ddp	yes	无赖	conservative
n	qas	no	fib	conservative
a	ps	yes	中国文化+的	inclusive
v	is	yes	乞求	inclusive
n	om	no	茴香	inclusive
n	or	no	蠢才	conservative
n	an	no	tomfool	conservative
n	asm	no	杆子	inclusive
n	cds	no	知道它，所有的	conservative
n	is	yes	反面角色	conservative
a	ddp	yes	精神失常+的	inclusive
n	svp	no	忧郁	conservative
n	svp	no	饭桶	conservative
n	om	no	男同	conservative
n	an	no	雄山羊	inclusive
n	cds	no	垃圾	inclusive
n	cds	no	亲戚	inclusive
n	an	no	虱毛目	inclusive
n	asf	no	蠢人	conservative
n	an	no	红杏出墙	conservative
n	dmc	yes	漂泊	inclusive
n	pa	yes	外交官銜	inclusive
n	pr	no	rentboy	conservative
n	re	no	苛待	inclusive
n	dmc	yes	制作者	conservative
n	asm	no	包皮	inclusive
n	re	no	犯人	inclusive
n	qas	no	乡民	inclusive
n	ddp	yes	欺骗	conservative
n	an	no	体虱	inclusive
n	pr	no	坏东西	conservative
n	qas	no	粗 暴 的 人 吧	conservative
n	cds	no	煽动者	conservative
n	or	no	芜菁	inclusive
n	an	no	海蝎	inclusive
n	ddf	yes	残障	inclusive
n	ps	yes	猶太族群	inclusive
n	an	no	鯊	inclusive
n	cds	no	犯罪分子	inclusive
n	pr	no	奸妇	conservative
n	cds	no	独断论者	conservative
n	an	no	动物界	inclusive
n	cds	no	謊言	conservative
n	cds	no	superbia	conservative
n	an	no	鴞形目	inclusive
n	cds	no	污秽	inclusive
n	asf	no	阻碍	conservative
n	cds	no	抽风了	conservative
n	qas	no	家政	inclusive
n	asm	no	人類勃起	inclusive
n	or	no	黄瓜籽	inclusive
a	is	yes	貧乏	inclusive
n	svp	no	换好前功尽弃	conservative
n	an	no	山羊动物	inclusive
n	cds	no	蠻族	conservative
n	asm	no	白癡	conservative
n	cds	no	工賊	inclusive
n	qas	no	莽汉	conservative
n	cds	no	賭廳	inclusive
n	qas	no	修 辞	inclusive
n	is	yes	贫	inclusive
n	or	no	南瓜	inclusive
n	an	no	鳗	inclusive
n	cds	no	fawner	conservative
n	dmc	yes	脏狗	inclusive
n	pr	no	庶室	inclusive
n	cds	no	缔约方会议	conservative
n	ps	yes	东哥特	inclusive
n	an	no	婊子	conservative
n	om	no	shirtlifter	inclusive
v	cds	no	辞世	inclusive
n	cds	no	hybrid	inclusive
n	ddf	yes	侏儒	conservative
n	an	no	放荡女	conservative
n	an	no	骨相学	inclusive
n	ps	yes	杂交种	inclusive
n	pr	no	情 妇	inclusive
n	cds	no	反动	conservative
n	or	no	卷 心 菜 ，	inclusive
n	cds	no	带	inclusive
n	an	no	鼻口部	inclusive
n	cds	no	异心	inclusive
n	cds	no	重利	inclusive
n	cds	no	拉 皮 条	conservative
n	cds	no	操控性工作者	conservative
n	an	no	gyps fulvus	inclusive
n	asm	no	麦豆	inclusive
n	cds	no	滑稽动作	inclusive
n	an	no	戴綠頭巾	conservative
n	dmc	yes	败家子	conservative
n	rci	yes	佃农	inclusive
n	cds	no	gag reel	inclusive
n	ddp	yes	笨蛋	conservative
n	cds	no	混杂物	inclusive
n	ddf	yes	殘廢	inclusive
n	ddp	yes	小頭畸形	inclusive
n	dmc	yes	变节者	conservative
v	cds	no	还本	inclusive
n	om	no	homophile	conservative
n	or	no	马 铃 薯 新 ，	inclusive
a	qas	no	通 常	inclusive
n	re	no	大反派	conservative
n	qas	no	麻烦制造者	conservative
n	an	no	leporidae	inclusive
n	an	no	strix系统的变化	inclusive
n	om	no	女勋爵	inclusive
n	dmc	yes	冒名顶替者	conservative
n	ddp	yes	恶意	conservative
n	an	no	diddly狗屎	conservative
n	pa	yes	教 授	inclusive
n	svp	no	spiritlessness	inclusive
n	asm	no	vicia faba	inclusive
n	asm	no	傻子	inclusive
n	re	no	滥 用	inclusive
n	an	no	animalculum	inclusive
n	cds	no	五体投地者	conservative
n	ps	yes	尤太人	inclusive
n	re	no	暴力	inclusive
a	ddf	yes	惡	inclusive
n	is	yes	大惡人	conservative
n	cds	no	羊群	inclusive
n	qas	no	连累	conservative
n	cds	no	打手枪	conservative
n	ps	yes	嚼	conservative
n	re	no	大盗窃罪	inclusive
n	svp	no	色 欲	inclusive
n	cds	no	遗 物	inclusive
n	re	no	cosa 的 诺 斯 特 拉	inclusive
n	ps	yes	防 暴	inclusive
n	cds	no	皮條客	inclusive
n	qas	no	修辭	inclusive
n	re	no	打手工作	inclusive
n	re	no	強姦	conservative
n	om	no	背 腹	inclusive
n	asm	no	蠢人	conservative
n	an	no	企街	conservative
n	ps	yes	rroma	inclusive
n	an	no	属安圭拉	inclusive
n	an	no	食人动物	inclusive
n	cds	no	高利	conservative
n	ddp	yes	nonsensicality	conservative
n	ps	yes	懦夫	conservative
n	re	no	賊	inclusive
n	pr	no	男妓	conservative
n	cds	no	mussiness	conservative
n	asm	no	nookie	conservative
n	re	no	武装抢劫	inclusive
n	cds	no	池 熙 ”	conservative
n	cds	no	媽媽生	conservative
n	ps	yes	挑筋教	inclusive
n	cds	no	氏族	inclusive
n	dmc	yes	混日子过	conservative
n	an	no	亚目蜚蠊目	inclusive
n	re	no	战利品	inclusive
n	cds	no	奮銳黨	inclusive
n	ddp	yes	普拉特	conservative
n	cds	no	妓院	inclusive
n	cds	no	犯人	conservative
n	an	no	欧洲野牛	inclusive
n	an	no	蚤目	inclusive
n	ddp	yes	阻碍	inclusive
n	an	no	怒火	inclusive
a	ddp	yes	不成熟+的	conservative
n	pr	no	賣淫	conservative
n	pa	yes	控 制 器	inclusive
n	an	no	戴綠帽子	conservative
n	ddp	yes	愚侏病	inclusive
n	re	no	外国人犯罪	inclusive
n	an	no	皱眉	inclusive
n	ps	yes	麥士蒂索	conservative
n	an	no	鰻鱺目	inclusive
n	an	no	伏翼蝠属	inclusive
n	cds	no	老鸨	conservative
n	cds	no	老师	inclusive
n	re	no	謀殺	inclusive
n	an	no	老马	inclusive
a	cds	no	陈腐+的	inclusive
n	svp	no	贪食	inclusive
n	an	no	鹦鹉	inclusive
n	an	no	门软体动物	inclusive
n	pa	yes	提倡者	inclusive
n	cds	no	淫 秽 的 房 子	inclusive
n	dmc	yes	谎话	inclusive
n	pr	no	性交易	conservative
n	re	no	debaucher	conservative
n	dmc	yes	未成年人犯罪	conservative
n	om	no	孌童喜好	inclusive
n	pa	yes	主 计 长	inclusive
