id	pos	category	stereotype	lemma	level
ZH3216	a	qas	no	中世紀的	inclusive
ZH929	n	an	no	俗气	conservative
ZH392	n	an	no	男妓	conservative
ZH987	n	or	no	高麗菜	inclusive
ZH555	n	cds	no	私生子	inclusive
ZH1314	n	cds	no	一分钱可怕	inclusive
ZH1058	n	cds	no	闲话	inclusive
ZH1512	n	dmc	yes	玩乐者	conservative
ZH1439	n	re	no	违 法 行 为	inclusive
ZH2621	n	re	no	恐 怖	inclusive
ZH1953	n	cds	no	偶像崇拜	inclusive
ZH200	n	re	no	姦污婦女	conservative
ZH1547	n	cds	no	pandar	inclusive
ZH2247	n	an	no	门软体动物	inclusive
ZH2696	n	an	no	兀鷹	inclusive
ZH3107	a	cds	no	法西斯主义+的	inclusive
ZH186	n	ddp	yes	动物体	inclusive
ZH2313	n	re	no	cosa的诺斯特拉	inclusive
ZH462	n	re	no	流氓	inclusive
ZH2993	a	pa	yes	学者气派+的	inclusive
ZH1243	n	pr	no	偏房	inclusive
ZH3084	n	cds	no	卑恭屈	conservative
ZH334	n	qas	no	买卖约定者	inclusive
ZH2572	n	ps	yes	刚果人种	inclusive
ZH620	n	dmc	yes	笨拙的	conservative
ZH3363	n	om	no	易服	inclusive
ZH658	n	pr	no	褐家鼠	inclusive
ZH596	n	cds	no	blooper	inclusive
ZH1304	n	cds	no	罪	inclusive
ZH2678	n	cds	no	高利貸	inclusive
ZH1519	n	dmc	yes	花的	inclusive
ZH236	n	an	no	白癡	conservative
ZH3024	n	pa	yes	会计师	inclusive
ZH2257	n	ps	yes	蒙古族	inclusive
ZH208	n	re	no	騙姦	conservative
ZH2083	n	dmc	yes	懒骨头	conservative
ZH2091	n	cds	no	大话	conservative
ZH638	n	an	no	母牛	inclusive
ZH2547	n	re	no	盗贼	inclusive
ZH2934	n	cds	no	宝宝	inclusive
ZH1791	n	re	no	大盗窃	inclusive
ZH1878	n	ps	yes	犹太教徒	inclusive
ZH226	n	an	no	蠢人	conservative
ZH2350	n	dmc	yes	chawbacon	conservative
ZH229	n	dmc	yes	笨蛋	conservative
ZH1369	n	om	no	纳茨	inclusive
ZH1407	n	cds	no	圈套	inclusive
ZH835	n	re	no	打手工作	inclusive
ZH803	n	cds	no	賭廳	inclusive
ZH1059	n	cds	no	造谣者	conservative
ZH358	n	qas	no	女男爵	inclusive
ZH1658	n	svp	no	疯狂	conservative
