alignment id	EN	JA	IT	ES	NL	FR	DE	FI	PL	MK	PT	RU	ZH	ID	MS	CA	TL	RO	FA	SV	SL	AR	NO	DA	CS	SK	IS	HR	EL	BG	LT	UK	HE	VI	HU	ET	TR	LV	SR	GA	CY	SW	SQ	AF	HI	KO	MT	EU	BN	TH	GL	EO	SIMPLE
ALIGNMENT1	EN1778, EN4966	JA3468, JA3469	IT3061, IT1304	ES2664	NL2633, NL2634, NL1049	FR2575, FR1000, FR1001	DE2364	FI967, FI2499, FI2500, FI970	PL2478		PT765, PT766		ZH2054, ZH766, ZH2055, ZH2056	ID1810, ID1811, ID722	MS1867, MS749	CA750, CA1929, CA751		RO799		SV1864	SL743, SL745			DA590			IS610, IS1658, IS1659, IS608, IS611, IS1660			BG578																				TH277			
ALIGNMENT2	EN3682, EN3683, EN3684, EN3685, EN3686	JA2569	IT2283, IT2284, IT2285, IT2286, IT2287	ES1886, ES1887, ES1888, ES1889, ES1890	NL1988, NL1989, NL1990, NL1991	FR1913, FR1914, FR1915, FR1916	DE1769	FI1870, FI1871, FI1872	PL1847, PL1848		PT1510			ID1372, ID1373	MS1413, MS1414	CA1431, CA1432, CA1433, CA1434, CA1435, CA1436, CA1437		RO1504	FA1498		SL1477, SL1478, SL1479, SL1480, SL1481, SL1482, SL1483, SL1484, SL1485																														GL320, GL321		
ALIGNMENT3	EN1730, EN1731, EN1732, EN1733, EN1734, EN1735, EN1736, EN1737, EN1738, EN1739, EN1740, EN1741, EN1742, EN1743, EN1744, EN1745, EN1746, EN1747, EN1748, EN1749, EN1750, EN1751, EN1752, EN1753, EN1730, EN1731, EN1732, EN1733, EN1734, EN1735, EN1736, EN1737, EN1738, EN1739, EN1740, EN1741, EN1742, EN1743, EN1744, EN1745, EN1746, EN1747, EN1748, EN1749, EN1750, EN1751, EN1752, EN1753, EN1730, EN1731, EN1732, EN1733, EN1734, EN1735, EN1736, EN1737, EN1738, EN1739, EN1740, EN1741, EN1742, EN1743, EN1744, EN1745, EN1746, EN1747, EN1748, EN1749, EN1750, EN1751, EN1752, EN1753, EN1730, EN1731, EN1732, EN1733, EN1734, EN1735, EN1736, EN1737, EN1738, EN1739, EN1740, EN1741, EN1742, EN1743, EN1744, EN1745, EN1746, EN1747, EN1748, EN1749, EN1750, EN1751, EN1752, EN1753, EN1730, EN1731, EN1732, EN1733, EN1734, EN1735, EN1736, EN1737, EN1738, EN1739, EN1740, EN1741, EN1742, EN1743, EN1744, EN1745, EN1746, EN1747, EN1748, EN1749, EN1750, EN1751, EN1752, EN1753	JA1357, JA1358, JA1359, JA1360, JA1361, JA1362, JA1363, JA1364, JA1365, JA1366, JA1367, JA1368, JA1369, JA1370, JA1371, JA1372, JA1373, JA1374, JA1375, JA1376, JA1377, JA1378, JA1379, JA1380, JA1381, JA1382, JA1383, JA1169, JA1384, JA1385, JA650, JA1357, JA976, JA1358, JA977, JA1359, JA978, JA1360, JA1004, JA1361, JA1362, JA1363, JA1364, JA1365, JA987, JA1366, JA1367, JA1368, JA1009, JA1369, JA1370, JA1371, JA1372, JA1373, JA1374, JA1375, JA1376, JA1377, JA1378, JA1379, JA1380, JA1381, JA1382, JA994, JA1383, JA1384, JA1385, JA650, JA1357, JA976, JA1358, JA977, JA1359, JA978, JA1360, JA1004, JA1361, JA1362, JA1363, JA1364, JA1365, JA987, JA961, JA1366, JA1367, JA1368, JA1009, JA1369, JA1370, JA1371, JA1372, JA1373, JA1374, JA1375, JA1376, JA1377, JA1378, JA1379, JA1380, JA1382, JA950, JA994, JA1383, JA1169, JA1384, JA1385, JA650, JA1357, JA976, JA1358, JA977, JA1359, JA978, JA1360, JA1004, JA1361, JA1362, JA1363, JA1364, JA1365, JA987, JA1366, JA1367, JA1368, JA1009, JA1369, JA1370, JA1371, JA1372, JA1373, JA1374, JA1375, JA1376, JA1377, JA1378, JA1379, JA1380, JA1381, JA1382, JA994, JA1383, JA1169, JA1384, JA1385, JA650, JA1357, JA976, JA1358, JA977, JA1359, JA978, JA1360, JA1004, JA1361, JA1362, JA1363, JA1364, JA1365, JA987, JA961, JA1366, JA1367, JA1368, JA1009, JA1369, JA1370, JA1371, JA1372, JA1373, JA1374, JA1375, JA1376, JA1377, JA1378, JA1379, JA1380, JA1381, JA1382, JA950, JA994, JA1383, JA1169, JA1384, JA1385, JA650	IT1266, IT1267, IT1268, IT1269, IT1270, IT1271, IT1272, IT1273, IT1274, IT1275, IT489, IT1276, IT1277, IT1278, IT1279, IT1280, IT1281, IT488, IT490, IT1266, IT1267, IT1268, IT1269, IT1270, IT1271, IT1272, IT1273, IT1274, IT1275, IT489, IT1276, IT1277, IT487, IT1278, IT1279, IT1280, IT1281, IT488, IT490, IT1266, IT1267, IT1268, IT1269, IT1270, IT1271, IT1272, IT1273, IT1275, IT846, IT489, IT1276, IT1277, IT848, IT487, IT1278, IT1279, IT856, IT1280, IT853, IT1281, IT488, IT490, IT858, IT1266, IT1267, IT1268, IT1269, IT1270, IT1271, IT1272, IT1273, IT1274, IT1275, IT489, IT1276, IT1277, IT487, IT1278, IT1279, IT1280, IT1281, IT488, IT490, IT1266, IT1267, IT1268, IT1269, IT1270, IT1271, IT1272, IT842, IT1273, IT1275, IT846, IT489, IT1276, IT1277, IT848, IT487, IT1278, IT1279, IT856, IT1280, IT853, IT1281, IT488, IT490, IT858	ES974, ES975, ES956, ES974, ES975, ES607, ES974, ES975, ES956, ES974, ES975, ES956, ES607, ES974, ES975, ES956	NL1012, NL1013, NL1031, NL1018, NL680, NL1031, NL1012, NL1013, NL680, NL1031, NL670, NL1018, NL431, NL1012, NL1013, NL680, NL1031, NL1018, NL1012, NL1013, NL680, NL1031, NL670, NL1018, NL431	FR979, FR980, FR981, FR982, FR983, FR984, FR985, FR665, FR979, FR980, FR981, FR982, FR983, FR984, FR985, FR665, FR979, FR661, FR980, FR981, FR982, FR657, FR658, FR983, FR984, FR985, FR665, FR979, FR980, FR981, FR982, FR983, FR984, FR985, FR665, FR979, FR661, FR980, FR981, FR982, FR657, FR658, FR983, FR984, FR985	DE854, DE855, DE856, DE857, DE858, DE859, DE860, DE861, DE862, DE854, DE855, DE856, DE857, DE858, DE859, DE860, DE861, DE862, DE854, DE855, DE856, DE857, DE858, DE859, DE860, DE861, DE581, DE862, DE854, DE855, DE856, DE857, DE858, DE859, DE860, DE861, DE862, DE854, DE855, DE856, DE857, DE858, DE859, DE860, DE861, DE581, DE862	FI943, FI944, FI945, FI946, FI947, FI948, FI949, FI943, FI944, FI945, FI946, FI947, FI948, FI949, FI619, FI943, FI944, FI945, FI622, FI946, FI947, FI948, FI949, FI625, FI943, FI944, FI945, FI946, FI947, FI948, FI949, FI619, FI943, FI944, FI945, FI622, FI946, FI947, FI948, FI949, FI625	PL642, PL881, PL882, PL883, PL881, PL593, PL882, PL883, PL642, PL881, PL593, PL882, PL591, PL883, PL642, PL881, PL593, PL882, PL883, PL642, PL881, PL593, PL882, PL591, PL883		PT752, PT753, PT754, PT755, PT756, PT757, PT758, PT752, PT753, PT754, PT755, PT756, PT757, PT758, PT752, PT753, PT754, PT755, PT508, PT756, PT757, PT758, PT752, PT753, PT754, PT755, PT756, PT757, PT758, PT752, PT753, PT754, PT755, PT508, PT756, PT757, PT758	RU800, RU801, RU802, RU803, RU804, RU805, RU800, RU801, RU802, RU803, RU804, RU805, RU800, RU801, RU802, RU803, RU511, RU804, RU805, RU800, RU801, RU802, RU803, RU804, RU805, RU800, RU801, RU802, RU803, RU511, RU804, RU805	ZH734, ZH735, ZH736, ZH737, ZH738, ZH739, ZH740, ZH741, ZH742, ZH743, ZH744, ZH745, ZH746, ZH747, ZH748, ZH749, ZH750, ZH751, ZH752, ZH734, ZH735, ZH736, ZH737, ZH738, ZH739, ZH740, ZH741, ZH742, ZH743, ZH744, ZH745, ZH746, ZH747, ZH748, ZH749, ZH750, ZH751, ZH752, ZH734, ZH735, ZH736, ZH737, ZH738, ZH739, ZH740, ZH741, ZH742, ZH743, ZH744, ZH745, ZH746, ZH747, ZH748, ZH749, ZH750, ZH751, ZH752, ZH734, ZH735, ZH736, ZH737, ZH738, ZH739, ZH740, ZH741, ZH742, ZH743, ZH744, ZH745, ZH746, ZH747, ZH748, ZH749, ZH750, ZH751, ZH752, ZH734, ZH735, ZH736, ZH737, ZH738, ZH739, ZH740, ZH741, ZH742, ZH743, ZH744, ZH745, ZH746, ZH747, ZH748, ZH749, ZH750, ZH751, ZH752	ID710, ID711, ID712, ID710, ID496, ID711, ID712, ID710, ID486, ID711, ID489, ID296, ID712, ID710, ID711, ID712, ID710, ID486, ID496, ID711, ID489, ID296, ID712	MS738, MS739, MS740, MS741, MS738, MS739, MS740, MS741, MS738, MS477, MS739, MS480, MS482, MS288, MS740, MS741, MS738, MS739, MS740, MS741, MS738, MS477, MS739, MS480, MS482, MS288, MS740, MS741	CA729, CA730, CA731, CA732, CA718, CA548, CA733, CA734, CA735, CA736, CA737, CA738, CA739, CA740, CA729, CA730, CA731, CA732, CA733, CA734, CA735, CA736, CA737, CA738, CA739, CA740, CA729, CA730, CA731, CA732, CA718, CA733, CA734, CA735, CA736, CA737, CA738, CA739, CA740, CA729, CA730, CA731, CA732, CA718, CA548, CA733, CA734, CA735, CA736, CA737, CA738, CA739, CA740, CA729, CA730, CA731, CA732, CA718, CA548, CA733, CA734, CA735, CA736, CA737, CA738, CA739, CA740	TL810, TL811, TL812, TL813, TL814, TL810, TL594, TL811, TL812, TL813, TL814, TL810, TL594, TL811, TL812, TL813, TL814, TL810, TL594, TL811, TL812, TL813, TL814, TL810, TL594, TL811, TL812, TL813, TL814	RO784, RO785, RO765, RO786, RO787, RO788, RO789, RO790, RO784, RO785, RO786, RO787, RO788, RO789, RO790, RO784, RO785, RO765, RO786, RO787, RO788, RO789, RO790, RO784, RO785, RO765, RO786, RO787, RO788, RO789, RO790, RO784, RO785, RO765, RO786, RO787, RO788, RO789, RO790	FA750, FA751, FA752, FA753, FA754, FA755, FA756, FA757, FA758, FA750, FA514, FA751, FA752, FA753, FA754, FA755, FA756, FA757, FA758, FA750, FA514, FA751, FA752, FA753, FA754, FA755, FA756, FA757, FA758, FA750, FA514, FA751, FA752, FA753, FA754, FA755, FA756, FA757, FA758, FA750, FA514, FA751, FA752, FA753, FA754, FA755, FA756, FA757, FA758	SV656, SV657, SV658, SV659, SV656, SV657, SV658, SV659, SV656, SV657, SV658, SV659, SV434, SV656, SV657, SV658, SV659, SV656, SV657, SV658, SV659, SV434	SL728, SL729, SL730, SL731, SL728, SL729, SL730, SL731, SL550, SL728, SL729, SL730, SL471, SL731, SL469, SL550, SL728, SL729, SL730, SL731, SL550, SL728, SL729, SL730, SL471, SL731, SL469, SL550	AR309, AR634, AR635, AR636, AR637, AR638, AR309, AR634, AR635, AR636, AR637, AR638, AR309, AR634, AR635, AR636, AR637, AR638, AR309, AR634, AR635, AR636, AR637, AR638, AR309, AR634, AR635, AR636, AR637, AR638	NO613, NO614, NO615, NO616, NO617, NO613, NO614, NO615, NO616, NO617, NO613, NO614, NO615, NO616, NO617, NO613, NO614, NO615, NO616, NO617, NO613, NO614, NO615, NO616, NO617	DA580, DA581, DA582, DA583, DA580, DA581, DA582, DA583, DA580, DA581, DA582, DA583, DA580, DA581, DA582, DA583, DA580, DA581, DA582, DA583	CS585, CS586, CS587, CS576, CS588, CS589, CS590, CS585, CS586, CS587, CS588, CS589, CS590, CS585, CS586, CS587, CS576, CS588, CS589, CS590, CS585, CS586, CS587, CS576, CS588, CS589, CS590, CS585, CS586, CS587, CS576, CS588, CS589, CS590	SK583, SK584, SK585, SK586, SK405, SK407, SK587, SK588, SK589, SK590, SK408, SK583, SK584, SK585, SK586, SK587, SK588, SK589, SK590, SK583, SK584, SK585, SK586, SK405, SK407, SK587, SK588, SK589, SK590, SK408, SK583, SK584, SK585, SK586, SK405, SK407, SK587, SK588, SK589, SK590, SK408, SK583, SK584, SK585, SK586, SK405, SK407, SK587, SK588, SK589, SK590, SK408	IS595, IS596, IS597, IS598, IS599, IS595, IS596, IS597, IS598, IS599, IS595, IS596, IS597, IS598, IS599, IS595, IS596, IS597, IS598, IS599, IS595, IS596, IS597, IS598, IS599	HR558, HR559, HR560, HR561, HR562, HR563, HR558, HR559, HR560, HR561, HR562, HR563, HR558, HR559, HR560, HR561, HR562, HR563, HR558, HR559, HR560, HR561, HR562, HR563, HR558, HR559, HR560, HR561, HR562, HR563	EL591, EL592, EL593, EL594, EL591, EL592, EL593, EL594, EL395, EL591, EL592, EL593, EL594, EL395, EL591, EL592, EL593, EL594, EL395, EL591, EL592, EL593, EL594, EL395	BG569, BG570, BG571, BG572, BG569, BG570, BG571, BG572, BG569, BG356, BG570, BG571, BG572, BG569, BG570, BG571, BG572, BG569, BG356, BG570, BG571, BG572	LT396, LT555, LT556, LT557, LT558, LT559, LT555, LT556, LT557, LT558, LT559, LT396, LT555, LT556, LT557, LT558, LT559, LT396, LT555, LT556, LT557, LT558, LT559, LT396, LT555, LT556, LT557, LT558, LT559	UK550, UK551, UK552, UK553, UK554, UK555, UK550, UK551, UK552, UK553, UK554, UK555, UK550, UK551, UK552, UK553, UK554, UK555, UK550, UK551, UK552, UK553, UK554, UK555, UK550, UK551, UK552, UK553, UK554, UK555	HE522, HE523, HE524, HE525, HE526, HE527, HE522, HE523, HE524, HE525, HE526, HE527, HE522, HE523, HE524, HE525, HE526, HE527, HE522, HE523, HE524, HE525, HE526, HE527, HE522, HE523, HE524, HE525, HE526, HE527	VI539, VI540, VI541, VI542, VI526, VI539, VI540, VI541, VI542, VI539, VI540, VI541, VI542, VI526, VI539, VI540, VI541, VI542, VI526, VI539, VI540, VI541, VI542, VI526	HU519, HU520, HU521, HU522, HU519, HU520, HU521, HU522, HU519, HU330, HU520, HU522, HU519, HU520, HU521, HU522, HU519, HU330, HU520, HU521, HU522	ET523, ET524, ET525, ET526, ET527, ET523, ET524, ET525, ET526, ET527, ET523, ET524, ET525, ET526, ET527, ET523, ET524, ET525, ET526, ET527, ET523, ET524, ET525, ET526, ET527	TR481, TR482, TR483, TR484, TR481, TR482, TR483, TR484, TR481, TR482, TR483, TR484, TR481, TR482, TR483, TR484, TR481, TR482, TR483, TR484	LV513, LV514, LV515, LV516, LV517, LV518, LV519, LV520, LV513, LV514, LV515, LV516, LV517, LV518, LV519, LV520, LV513, LV514, LV515, LV516, LV517, LV518, LV519, LV520, LV513, LV514, LV515, LV516, LV517, LV518, LV519, LV520, LV513, LV514, LV515, LV516, LV517, LV518, LV519, LV520	SR344, SR495, SR496, SR497, SR495, SR496, SR497, SR344, SR495, SR496, SR497, SR344, SR495, SR496, SR497, SR344, SR495, SR496, SR497	GA504, GA505, GA506, GA507, GA508, GA504, GA505, GA506, GA507, GA508, GA504, GA505, GA506, GA507, GA508, GA504, GA505, GA506, GA507, GA508, GA504, GA505, GA506, GA507, GA508	CY478, CY479, CY480, CY481, CY482, CY483, CY478, CY479, CY480, CY481, CY482, CY483, CY478, CY479, CY480, CY481, CY482, CY483, CY478, CY479, CY480, CY481, CY482, CY483, CY478, CY479, CY480, CY481, CY482, CY483	SW496, SW497, SW498, SW499, SW500, SW496, SW497, SW498, SW499, SW500, SW496, SW497, SW498, SW499, SW500, SW496, SW497, SW498, SW499, SW500, SW496, SW497, SW498, SW499, SW500	SQ479, SQ480, SQ340, SQ481, SQ482, SQ483, SQ479, SQ480, SQ481, SQ482, SQ483, SQ479, SQ480, SQ340, SQ481, SQ482, SQ483, SQ479, SQ480, SQ340, SQ481, SQ482, SQ483, SQ479, SQ480, SQ340, SQ481, SQ482, SQ483	AF456, AF457, AF458, AF459, AF460, AF456, AF457, AF458, AF459, AF460, AF456, AF457, AF458, AF459, AF460, AF456, AF457, AF458, AF459, AF460, AF456, AF457, AF458, AF459, AF460	HI461, HI462, HI463, HI461, HI462, HI463, HI461, HI462, HI463, HI345, HI461, HI462, HI463, HI345, HI461, HI462, HI463, HI345	KO460, KO461, KO462, KO460, KO461, KO462, KO460, KO461, KO462, KO279, KO460, KO461, KO462, KO460, KO461, KO462, KO279	MT476, MT477, MT478, MT479, MT480, MT476, MT477, MT478, MT479, MT480, MT476, MT477, MT478, MT479, MT480, MT476, MT477, MT478, MT479, MT480, MT476, MT477, MT478, MT479, MT480	EU319, EU233, EU234, EU235, EU232, EU319, EU233, EU234, EU232, EU215, EU233, EU234, EU235, EU232, EU319, EU233, EU234, EU218, EU235, EU232, EU214, EU215		TH271, TH271, TH271, TH271	GL180, GL181, GL182, GL180, GL181, GL182, GL180, GL181, GL182, GL180, GL181, GL182, GL180, GL181, GL182		SIMPLE161, SIMPLE162, SIMPLE161, SIMPLE162, SIMPLE161, SIMPLE162, SIMPLE161, SIMPLE162, SIMPLE161, SIMPLE162
ALIGNMENT4	EN2480, EN2481, EN2482, EN2483, EN1891, EN2484, EN2485	JA1853, JA1854	IT1661, IT1662	ES1319	NL1447	FR1353, FR1354, FR1071	DE1222	FI1316	PL1288		PT1061	RU1197	ZH1057	ID957	MS991	CA1016	TL1048, TL1049	RO1064	FA1030	SV936	SL1023	AR895	NO866	DA828, DA829	CS826	SK835	IS855	HR794	EL847	BG795	LT793	UK802	HE769	VI761	HU736	ET741	TR681	LV739	SR717	GA721	CY691	SW697	SQ691	AF662	HI672	KO672	MT675					EO195	SIMPLE209
ALIGNMENT5	EN4183, EN4184, EN4185, EN4186, EN4187, EN4188, EN4189, EN4190, EN4191, EN4192, EN4193, EN4194, EN4195, EN4196, EN4197, EN4198, EN4199, EN4200, EN4201, EN4202, EN4203	JA2922, JA2923, JA2924, JA2925, JA2926, JA2927, JA2928, JA2929, JA2930, JA2931, JA2932, JA2933, JA2934, JA2935, JA2936	IT2617, IT2618, IT1896, IT2619, IT2620	ES2296, ES2297, ES2298, ES492, ES2299	NL2216, NL2217, NL2218	FR2177, FR2178, FR2179, FR2180, FR2181, FR2182, FR2183, FR2184, FR2185, FR2186	DE2005, DE2006, DE2007, DE2008, DE2009, DE2010, DE2011, DE2012, DE2013, DE2014, DE2015, DE2016	FI2107, FI2108, FI2109, FI2110, FI2111, FI2112	PL2092, PL2093, PL2094, PL2095, PL2096		PT1724, PT1725, PT1726, PT1727, PT1728, PT1729, PT1730, PT1731, PT1732, PT1733, PT1734	RU1921, RU1922, RU1923, RU1924	ZH1711, ZH1712, ZH1713, ZH1714, ZH1715, ZH1716, ZH1717, ZH1718, ZH1719	ID1548, ID1549, ID1550, ID1551, ID1552	MS1602, MS1603, MS1604	CA1631, CA1632, CA1633	TL1735, TL1736, TL1737, TL1738, TL1739, TL1740	RO1693, RO1694, RO1695, RO1696, RO1697, RO1698, RO1699	FA1708, FA1709, FA1710, FA1711, FA1712, FA1713, FA1714, FA1715, FA1716	SV1565, SV1566, SV1567, SV1568, SV1569	SL1679, SL1680	AR1458, AR1459	NO1415, NO1416, NO1417, NO1418	DA1348, DA1349, DA1350, DA1351, DA1352, DA1353	CS1376, CS1377, CS1378, CS1379	SK1345, SK1346	IS1398, IS1399, IS1400, IS1401	HR1295, HR1296	EL1370, EL1371, EL1372	BG1278, BG1279	LT1267, LT1268, LT1269, LT1270	UK1313, UK1314, UK1315	HE1284, HE1285, HE1286, HE1287, HE1288, HE1289	VI1237, VI1238	HU1264, HU1265, HU1266, HU1267, HU1268	ET1217, ET1218, ET1219	TR1127	LV1215, LV1216	SR1176, SR1177, SR1178	GA1203, GA1204, GA1205	CY1143, CY1144, CY1145, CY1146	SW1146, SW1147, SW1148, SW1149	SQ1140, SQ1141	AF1107, AF1108	HI1074, HI1075	KO1062, KO1063	MT1117, MT1118, MT1119	EU692, EU693, EU694	BN490	TH589, TH590, TH591	GL376	EO300, EO301	SIMPLE297, SIMPLE298
ALIGNMENT6	EN732, EN729	JA668, JA657, JA1016, JA663, JA671, JA666, JA655, JA669	IT520, IT513	ES394, ES392, ES397	NL693, NL459, NL440, NL694	FR428, FR419	DE403, DE393	FI420, FI641	PL602, PL603, PL363, PL604, PL353		PT324, PT321, PT329			ID502, ID299	MS496, MS297, MS293	CA322, CA316		RO358, RO542, RO543		SV276	SL314					SK233					LT374, LT223																	EU154, EU220, EU155		TH185, TH99, TH186		EO61	
ALIGNMENT7	EN1686, EN1687, EN1688	JA1335	IT1211, IT1212	ES947, ES948	NL984, NL985	FR953, FR954, FR955	DE829	FI912, FI913, FI914, FI915	PL846, PL847, PL848, PL849, PL850		PT735, PT736, PT737	RU766, RU767, RU768	ZH720	ID686, ID687, ID688, ID689	MS709, MS710, MS711, MS712, MS713, MS714, MS715	CA711, CA712, CA713	TL794	RO753, RO754, RO755, RO756, RO757	FA720, FA721, FA722	SV633, SV634	SL699, SL700, SL701	AR613	NO595, NO596	DA563	CS571	SK571	IS579	HR547	EL573	BG551, BG552, BG553	LT540	UK536		VI524	HU501, HU502		TR464, TR465, TR466, TR467, TR468	LV498, LV499	SR483	GA486		SW480	SQ466	AF440	HI449			EU313, EU314		TH259, TH260	GL168		
ALIGNMENT8	EN6543, EN4701, EN504, EN6544, EN6545, EN6546, EN4700, EN512, EN6547, EN6548, EN6549, EN6550, EN6551, EN6552, EN6553, EN6554, EN6555, EN6556	JA4466, JA4467, JA4468	IT3779, IT3780, IT3781, IT3782, IT3783	ES3350, ES3351, ES3352, ES3353, ES3354, ES3355, ES3356, ES3357	NL273, NL3296, NL75, NL3297, NL3298, NL3299, NL314	FR3194, FR3195, FR2450, FR3196, FR3197, FR3198, FR774	DE2991, DE2992, DE2993, DE2994, DE2995, DE2996, DE2997, DE2655, DE2998, DE2999, DE3000	FI3190, FI3191, FI3192, FI3193, FI3194, FI2010, FI3195, FI3196, FI296, FI746, FI3197, FI761	PL2328, PL3166, PL2329, PL3167, PL3168, PL2330	MK2948, MK2949	PT2600, PT1278, PT2601	RU2899, RU2900, RU2901, RU2902, RU2903, RU2904, RU2905, RU2906, RU2907, RU2908	ZH2701, ZH2702, ZH2703		MS2411, MS2412	CA2440, CA2441, CA1819, CA2442, CA2443	TL3059, TL3060, TL3061, TL3062, TL3063, TL3064, TL3065, TL3066, TL3067, TL3068	RO2553, RO2554, RO2555	FA2667, FA2668, FA2669, FA2670, FA2671, FA2672, FA2673	SV2422, SV2423, SV2424, SV522, SV2425, SV2426	SL2541, SL2542, SL1885, SL2543, SL2544, SL199, SL2545	AR2299, AR2300, AR2301, AR2302, AR2303, AR2304, AR2305, AR2306	NO2209, NO2210, NO2211, NO2212	DA2082, DA2083, DA2084, DA2085	CS2058	SK2037, SK2038	IS2184, IS2185, IS2186, IS2187	HR1963, HR1964, HR1965, HR1966	EL2040, EL2041	BG1970, BG1971, BG1972, BG156	LT1916, LT1917, LT1918, LT1919	UK1996, UK1997, UK1998	HE1950, HE1951, HE1952, HE1953	VI1896, VI1897, VI1898, VI1899	HU1866, HU1867, HU1868, HU1869	ET1848, ET1849, ET1850, ET1851, ET1852	TR1685, TR1686, TR1687, TR1688	LV1854, LV1855, LV1856	SR1787, SR1788, SR1789, SR1790	GA1813, GA1814, GA1815, GA1816	CY1746, CY1747, CY1748, CY1749	SW1739, SW1740, SW1741, SW1742, SW1743	SQ1725, SQ1726, SQ1727	AF1657, AF1658, AF675, AF1659, AF1660, AF1661	HI1616, HI1617	KO1600	MT1676, MT1677, MT1678, MT1679	EU772		TH955, TH65	GL599	EO512	SIMPLE496
ALIGNMENT9	EN1934	JA1512, JA1513, JA1514, JA1515	IT1391, IT1390	ES1058, ES1060, ES496	NL1179, NL1180, NL1181	FR1090, FR550, FR1091, FR1092	DE956, DE957	FI1048	PL1003, PL1010, PL1011, PL1012	MK756	PT828, PT829, PT830, PT831, PT832	RU910, RU911, RU908	ZH823	ID776		CA811		RO856, RO857, RO858	FA830	SV720, SV721	SL823	AR700	NO680	DA640	CS646, CS647	SK299	IS666, IS667, IS668, IS665		EL651, EL652	BG626	LT612, LT611	UK613	HE572, HE573, HE571, HE574		HU574, HU575			LV575			CY531, CY266		SQ532	AF512	HI508	KO509	MT527	EU359		TH302, TH303		EO151, EO152, EO153	
ALIGNMENT10	EN4052	JA2862, JA1418, JA2863, JA2864, JA2865	IT2552, IT2553, IT2554	ES2169, ES2170	NL2155, NL2156	FR2106	DE1934	FI2046, FI2047, FI2048	PL2042, PL2043, PL2044, PL2045, PL2046, PL2047, PL2048, PL2049, PL2050, PL2051		PT1677	RU1851, RU1852, RU1853	ZH1665, ZH1666			CA1585, CA1586, CA1587	TL1644	RO1654, RO1655	FA1655, FA1656	SV1510	SL1633, SL1634, SL1635, SL1636	AR1415	NO1369	DA1306, DA1307	CS1328	SK1308	IS1361	HR1254, HR1255	EL1331, EL1332	BG1235, BG1236	LT1229, LT1230	UK1269, UK1270	HE1243, HE1244	VI1196, VI1197	HU1229, HU1230	ET1177	TR1091, TR1092	LV1161	SR1129, SR1130	GA1156	CY1102	SW1111	SQ1101, SQ1102, SQ1103	AF1068	HI1044	KO1026	MT1078, MT1079	EU673		TH574	GL365, GL366		
