babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00104880a,faux,incorrect,ADJ,An incorrect calculation | Based on the wrong assumptions | Found themselves on the wrong road | The clock showed the wrong time | The report in the paper is wrong | Your information is wrong,Not correct; not in conformity with fact or truth,
bn:00104880a,faux,wrong,ADJ,An incorrect calculation | Based on the wrong assumptions | Found themselves on the wrong road | The clock showed the wrong time | The report in the paper is wrong | Your information is wrong,Not correct; not in conformity with fact or truth,
bn:00098117a,faux,bogus,ADJ,,Fraudulent; having a misleading appearance,
bn:00098117a,faux,fake,ADJ,,Fraudulent; having a misleading appearance,
bn:00098117a,faux,phony,ADJ,,Fraudulent; having a misleading appearance,
bn:00098117a,faux,phoney,ADJ,,Fraudulent; having a misleading appearance,
bn:00098117a,faux,bastard,ADJ,,Fraudulent; having a misleading appearance,
bn:00102752a,faux,false,ADJ,A false friend | When lovers prove untrue,(used especially of persons) not dependable in devotion or affection; unfaithful,
bn:00102752a,faux,untrue,ADJ,A false friend | When lovers prove untrue,(used especially of persons) not dependable in devotion or affection; unfaithful,
bn:00032777n,faux,imposter,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,impostor,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,pretender,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,fake,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,faker,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,fraud,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,sham,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,shammer,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,pseudo,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,pseud,NOUN,,A person who makes deceitful pretenses,
bn:00032777n,faux,role_player,NOUN,,A person who makes deceitful pretenses,
bn:00032880n,faux,falsification,NOUN,,A willful perversion of facts,Contract_law | English_law | Law
bn:00032880n,faux,misrepresentation,NOUN,,A willful perversion of facts,Contract_law | English_law | Law
bn:00102384a,faux,erroneous,ADJ,Erroneous conclusions,Containing or characterized by error,
bn:00113355a,faux,untrue,ADJ,Unfortunately the statement was simply untrue,Not according with the facts,
bn:00027709n,faux,hypocrite,NOUN,,A person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives,
bn:00027709n,faux,dissembler,NOUN,,A person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives,
