pos	category	lemma	offensiveness_score
1 aggettivo	dmc;	abbietta	2.6539881134297696
1 aggettivo	dmc;	abbiette	2.6539881134297696
1 aggettivo	dmc;	abbietti	2.6539881134297696
1 aggettivo	dmc;	abbietto	2.6539881134297696
3 sostantivo	dmc;	abbiezione	2.6539881134297696
3 sostantivo	dmc;	abbiezioni	2.6539881134297696
2 sostantivo, aggettivo	cds; dmc; re;	abbindolatore	2.158415221758037
2 sostantivo, aggettivo	cds; dmc; re;	abbindolatori	2.158415221758037
2 sostantivo, aggettivo	cds; dmc; re;	abbindolatrice	2.158415221758037
2 sostantivo, aggettivo	cds; dmc; re;	abbindolatrici	2.158415221758037
3 sostantivo	qas;ddf;	abbrutimenti	2.0763171652780557
3 sostantivo	qas;ddf;	abbrutimento	2.0763171652780557
1 aggettivo	cds; ddf;	abbrutita	1.8255375886547394
1 aggettivo	cds; ddf;	abbrutite	1.8255375886547394
1 aggettivo	cds; ddf;	abbrutiti	1.8255375886547394
1 aggettivo	cds; ddf;	abbrutito	1.8255375886547394
1 aggettivo	ddf; cds	aberrante	2.649241772971271
1 aggettivo	ddf; cds	aberranti	2.649241772971271
3 sostantivo	ddf; cds	aberrazione	2.649241772971271
3 sostantivo	ddf; cds	aberrazioni	2.649241772971271
1 aggettivo	dmc;	abietta	2.7669308076895103
1 aggettivo	dmc;	abiette	2.7669308076895103
1 aggettivo	dmc;	abietti	2.7669308076895103
1 aggettivo	dmc;	abietto	2.7669308076895103
3 sostantivo	dmc;	abiezione	2.7669308076895103
3 sostantivo	dmc;	abiezioni	2.7669308076895103
1 aggettivo	ddf; cds	abnorme	2.120320474847734
1 aggettivo	ddf; cds	abnormi	2.120320474847734
3 sostantivo	svp;	abominazione	3.105009174339571
3 sostantivo	svp;	abominazioni	3.105009174339571
1 aggettivo	svp; cds;	abominevole	3.105009174339571
1 aggettivo	svp; cds;	abominevoli	3.105009174339571
3 sostantivo	svp;	abomini	3.105009174339571
3 sostantivo	svp;	abominio	3.105009174339571
3 sostantivo	svp;	aborrimenti	2.2773341724042466
3 sostantivo	svp;	aborrimento	2.2773341724042466
1 aggettivo	svp;	aborrita	2.2773341724042466
1 aggettivo	svp;	aborrite	2.2773341724042466
1 aggettivo	svp;	aborriti	2.2773341724042466
1 aggettivo	svp;	aborrito	2.2773341724042466
3 sostantivo	qas; min;	aborti	3.0589508226895457
3 sostantivo	qas; min;	aborto	3.0589508226895457
3 sostantivo	dmc;	abulia	1.8181981208690885
1 aggettivo	dmc;	abulica	1.8181981208690885
1 aggettivo	dmc;	abuliche	1.8181981208690885
1 aggettivo	dmc;	abulici	1.8181981208690885
1 aggettivo	dmc;	abulico	1.8181981208690885
3 sostantivo	dmc;	abulie	1.8181981208690885
1 aggettivo	re	abusiva	2.0282412495176363
1 aggettivo	re	abusive	2.0282412495176363
1 aggettivo	re	abusivi	2.0282412495176363
1 aggettivo	re	abusivo	2.0282412495176363
3 sostantivo	is;	accatona	2.385889307051145
3 sostantivo	is;	accatone	2.385889307051145
3 sostantivo	is;	accatoni	2.385889307051145
3 sostantivo	qas;	accattabrighe	1.6695244283383426
3 sostantivo	is;	accattapane	2.385889307051145
3 sostantivo	is;	accattatozzi	2.385889307051145
3 sostantivo	is;	accattone	2.385889307051145
2 sostantivo, aggettivo	dmc	accentratore	1.5035725048225315
2 sostantivo, aggettivo	dmc	accentratori	1.5035725048225315
2 sostantivo, aggettivo	dmc	accentratrice	1.5035725048225315
2 sostantivo, aggettivo	dmc	accentratrici	1.5035725048225315
3 sostantivo	cds; dmc; svp;	acchiappamosche	2.0428994610810145
3 sostantivo	svp;	accidia	2.0428994610810145
3 sostantivo	svp;	accidie	2.0428994610810145
2 sostantivo, aggettivo	an; cds; svp;	accidiosa	2.0428994610810145
2 sostantivo, aggettivo	an; cds; svp;	accidiose	2.0428994610810145
2 sostantivo, aggettivo	an; cds; svp;	accidiosi	2.0428994610810145
2 sostantivo, aggettivo	an; cds; svp;	accidioso	2.0428994610810145
3 sostantivo	svp; dmc;	acedia	2.0428994610810145
3 sostantivo	svp; dmc;	acedie	2.0428994610810145
1 aggettivo	dmc;	acida	2.039024313185723
1 aggettivo	dmc;	acide	2.039024313185723
1 aggettivo	dmc;	acidi	2.039024313185723
1 aggettivo	dmc;	acido	2.039024313185723
1 aggettivo	svp; dmc;	acriminosi	1.9839086318613448
1 aggettivo	svp; dmc;	acrimoniosa	1.9839086318613448
1 aggettivo	svp; dmc;	acrimoniose	1.9839086318613448
1 aggettivo	svp; dmc;	acrimonioso	1.9839086318613448
1 aggettivo	ddp;	adolescenziale	1.2480218597835449
1 aggettivo	ddp;	adolescenziali	1.2480218597835449
1 aggettivo	pr; dmc;	adultera	2.4944287925937494
1 aggettivo	pr; dmc;	adultere	2.4944287925937494
1 aggettivo	pr; dmc;	adulteri	2.4944287925937494
1 aggettivo	pr; dmc;	adulterina	2.445093377449047
1 aggettivo	pr; dmc;	adulterine	2.445093377449047
1 aggettivo	pr; dmc;	adulterini	2.445093377449047
1 aggettivo	pr; dmc;	adulterino	2.445093377449047
1 aggettivo	pr; dmc;	adultero	2.4944287925937494
3 sostantivo	an;	afanitteri	1.7087939437701265
3 sostantivo	an;	afanittero	1.7087939437701265
4 verbo	cds	sputarti	5
4 verbo	cds	sputargli	5
4 verbo	cds	sputarle	5
4 verbo	cds	sputiamogli	5
4 verbo	cds	sputiamole	5
4 verbo	cds	inculerei	5
4 verbo	cds	cacare	5
4 verbo	cds	scopo	5
4 verbo	cds	scoperei	5
4 verbo	cds	scopare	5
4 verbo	cds	scopiamo	5
4 verbo	cds	scopate	5
4 verbo	cds	scopano	5
4 verbo	cds	affogatevi	5
4 verbo	cds	affogati	5
4 verbo	cds	affondatevi	5
4 verbo	cds	affondati	5
4 verbo	cds	affossatevi	5
4 verbo	cds	affossati	5
1 aggettivo	cds	agghiacciante	2.2022199909455358
1 aggettivo	cds	agghiaccianti	2.2022199909455358
2 sostantivo, aggettivo	cds; dmc; re;	aggiratore	2.3741242493053756
2 sostantivo, aggettivo	cds; dmc; re;	aggiratori	2.3741242493053756
2 sostantivo, aggettivo	cds; dmc; re;	aggiratrice	2.3741242493053756
2 sostantivo, aggettivo	cds; dmc; re;	aggiratrici	2.3741242493053756
4 verbo	cds	aggrediscila	5
4 verbo	cds	aggrediscile	5
4 verbo	cds	aggrediscili	5
4 verbo	cds	aggrediscilo	5
1 aggettivo	svp; dmc	aggressiva	2.3110937888399508
1 aggettivo	svp; dmc	aggressive	2.3110937888399508
1 aggettivo	svp; dmc	aggressivi	2.3110937888399508
1 aggettivo	svp; dmc	aggressivo	2.3110937888399508
3 sostantivo	dmc	agitatore	1.7021309539587097
3 sostantivo	dmc	agitatori	1.7021309539587097
3 sostantivo	dmc	agitatrice	1.7021309539587097
3 sostantivo	dmc	agitatrici	1.7021309539587097
3 sostantivo	cds; re;	aguzzine	2.9733861996363267
3 sostantivo	cds; re;	aguzzini	2.9733861996363267
3 sostantivo	cds; re;	aguzzino	2.9733861996363267
3 sostantivo	cds; svp;	albagia	1.63449167143493
3 sostantivo	cds; svp;	albagie	1.63449167143493
1 aggettivo	cds; mi;	alcolizzata	3.0895790158850205
1 aggettivo	cds; mi;	alcolizzate	3.0895790158850205
1 aggettivo	cds; mi;	alcolizzati	3.0895790158850205
1 aggettivo	cds; mi;	alcolizzato	3.0895790158850205
1 aggettivo	ddp; qas	aliena	1.6111987951468842
1 aggettivo	ddp; qas;	alienata	2.100172321272563
1 aggettivo	ddp; qas;	alienate	2.100172321272563
1 aggettivo	ddp; qas;	alienati	2.100172321272563
1 aggettivo	ddp; qas;	alienato	2.100172321272563
1 aggettivo	ddp; qas	aliene	1.6111987951468842
1 aggettivo	ddp; qas	alieni	1.6111987951468842
1 aggettivo	ddp; qas	alieno	1.6111987951468842
1 aggettivo	ddf;	allampanato	1.8752824935782195
3 sostantivo	ddp; cds; ps;	allocca	2.0645122182484315
3 sostantivo	ddp; cds; ps;	allocche	2.0645122182484315
3 sostantivo	ddp; cds; ps;	allocchi	2.0645122182484315
3 sostantivo	ddp; cds; ps;	allocco	2.0645122182484315
1 aggettivo	cds	allucinante	1.5940822731741306
1 aggettivo	cds	allucinanti	1.5940822731741306
1 aggettivo	cds; ddp	allucinata	2.0277398663498083
1 aggettivo	cds; ddp	allucinate	2.0277398663498083
1 aggettivo	cds; ddp	allucinati	2.0277398663498083
1 aggettivo	cds; ddp	allucinato	2.0277398663498083
2 sostantivo, aggettivo	pr; mi;	allupata	2.6912579970742545
2 sostantivo, aggettivo	pr; mi;	allupate	2.6912579970742545
2 sostantivo, aggettivo	pr; mi;	allupati	2.6912579970742545
2 sostantivo, aggettivo	pr; mi;	allupato	2.6912579970742545
1 aggettivo	svp;	altera	1.8880586552502223
1 aggettivo	svp;	altere	1.8880586552502223
3 sostantivo	svp; cds;	alterigia	1.63449167143493
3 sostantivo	svp; cds;	alterigie	1.63449167143493
1 aggettivo	svp;	altero	1.8880586552502223
1 aggettivo	svp; cds;	altezzosa	1.8880586552502223
1 aggettivo	svp; cds;	altezzose	1.8880586552502223
1 aggettivo	svp; cds;	altezzosi	1.8880586552502223
3 sostantivo	cds; svp;	altezzosità	1.63449167143493
1 aggettivo	svp; cds;	altezzoso	1.8880586552502223
1 aggettivo	dmc;	ambigua	1.7574867272548147
1 aggettivo	dmc;	ambigue	1.7574867272548147
1 aggettivo	dmc;	ambigui	1.7574867272548147
1 aggettivo	dmc;	ambiguo	1.7574867272548147
3 sostantivo	dmc;	ameba	2.4930693138312265
3 sostantivo	dmc;	amebe	2.4930693138312265
4 verbo	cds	ammazala	5
4 verbo	cds	ammazzale	5
4 verbo	cds	ammazzali	5
4 verbo	cds	ammazzalo	5
3 sostantivo	re;	ammazzamenti	3.0589508226895457
3 sostantivo	re;	ammazzamento	3.0589508226895457
4 verbo	cds	ammazzare	5
3 sostantivo	cds;	ammazzasette	1.8880586552502223
4 verbo	cds	ammazzatevi	5
4 verbo	cds	ammazzati	5
4 verbo	cds	ammazziamola	5
